type,text,options,answer,difficulty,category
MCQ,What is the capital of France?,Paris|London|Rome|Berlin,Paris,Easy,Geography
MCQ,Which planet is known as the Red Planet?,Earth|Venus|Mars|Jupiter,Mars,Easy,Science
MCQ,Which number is even?,1|3|4|5,4,Easy,Math
MCQ,What is the largest ocean?,Atlantic|Indian|Pacific|Arctic,Pacific,Medium,Geography
TF,The Earth is flat,,False,Easy,Science
TF,Python is a programming language,,True,Easy,General
MCQ,Who wrote 'Romeo and Juliet'?,Shakespeare|Tolkien|Rowling|Twain,Shakespeare,Medium,Literature
TF,Sun rises in the West,,False,Easy,General
MCQ,What is the chemical symbol for Oxygen?,Oxygen|Gold|Osmium|Iron,Oxygen,Medium,Science
MCQ,What is 5 * 6?,25|30|35|40,30,Easy,Math
MCQ,Which gas do plants absorb?,Oxygen|Carbon Dioxide|Nitrogen|Hydrogen,Carbon Dioxide,Medium,Science
MCQ,What is the freezing point of water?,0°C|100°C|50°C|25°C,0°C,Easy,Science
MCQ,Who painted the Mona Lisa?,Van Gogh|Picasso|Da Vinci|Rembrandt,Da Vinci,Medium,Art
MCQ,What is the largest continent?,Africa|Asia|Europe|Antarctica,Asia,Medium,Geography
MCQ,What is the square root of 64?,6|7|8|9,8,Easy,Math
MCQ,Which element has the atomic number 1?,Oxygen|Hydrogen|Carbon|Nitrogen,Hydrogen,Medium,Science
MCQ,What is the capital of Japan?,Tokyo|Seoul|Beijing|Bangkok,Tokyo,Easy,Geography
MCQ,What is the hardest natural substance on Earth?,Gold|Diamond|Iron|Quartz,Diamond,Medium,Science
MCQ,What is the main ingredient in guacamole?,Tomato|Avocado|Onion|Pepper,Avocado,Easy,Cooking
MCQ,What is the boiling point of water?,50°C|100°C|150°C|200°C,100°C,Easy,Science
MCQ,What is the largest mammal?,Elephant|Blue Whale|Giraffe|Rhino,Blue Whale,Medium,Science
MCQ,What is the currency of Japan?,Yen|Dollar|Euro|Won,Yen,Easy,Economics
MCQ,What is the speed of light?,300,000 km/s|150,000 km/s|1,000 km/s|3,000 km/s,300,000 km/s,Hard,Science
MCQ,What is the main language spoken in Brazil?,Spanish|Portuguese|English|French,Portuguese,Medium,Language
